day,hour,minute,second,question,worker,answer,gt
0,0,0,0,235,26,2,2
0,0,0,0,648,22,3,2
0,0,0,0,736,34,2,2
0,0,0,0,407,50,0,1
0,0,0,0,574,25,0,0
0,0,0,0,459,22,2,2
0,0,0,0,484,20,3,3
0,0,0,0,450,12,3,3
0,0,0,0,755,20,3,3
0,0,0,0,29,3,3,3
0,0,0,0,703,30,1,0
0,0,0,0,536,3,1,1
0,0,0,0,51,24,3,2
0,0,0,0,106,1,3,3
0,0,0,0,572,22,0,1
0,0,0,0,273,22,3,3
0,0,0,0,650,20,2,2
0,0,0,0,322,17,3,3
0,0,0,0,128,3,3,3
0,0,0,0,647,10,0,0
0,0,0,0,180,23,3,3
0,0,0,0,436,7,3,3
0,0,0,0,771,20,2,2
0,0,0,0,340,47,0,1
0,0,0,0,140,31,1,0
0,0,0,0,28,14,0,2
0,0,0,0,388,16,0,1
0,0,0,0,696,16,0,0
0,0,0,0,56,22,0,1
0,0,0,0,670,10,2,2
0,0,0,0,799,88,2,2
0,0,0,0,107,20,2,3
0,0,0,0,644,3,1,1
0,0,0,0,645,3,3,2
0,0,0,0,783,43,3,2
0,0,0,0,563,1,0,0
0,0,0,0,462,63,3,3
0,0,0,0,640,55,1,0
0,0,0,0,621,31,0,0
0,0,0,0,216,31,1,0
0,0,0,0,229,43,0,0
0,0,0,0,109,47,1,1
0,0,0,0,708,16,3,3
0,0,0,0,1,3,3,3
0,0,0,0,804,29,1,2
0,0,0,0,144,90,1,1
0,0,0,0,190,25,2,3
0,0,0,0,378,43,2,2
0,0,0,0,770,31,3,3
0,0,0,0,560,26,1,1
0,0,0,0,99,20,0,0
0,0,0,0,169,7,1,1
0,0,0,0,584,16,3,3
0,0,0,0,522,14,0,2
0,0,0,0,294,16,3,2
0,0,0,0,620,16,0,0
0,0,0,0,236,24,0,0
0,0,0,0,120,35,0,0
0,0,0,0,310,1,1,1
0,0,0,0,780,63,2,2
0,0,0,0,2,14,2,2
0,0,0,0,553,50,2,2
0,0,0,0,399,50,1,0
0,0,0,0,35,70,3,3
0,0,0,0,389,10,2,2
0,0,0,0,63,84,0,1
0,0,0,0,456,54,2,2
0,0,0,0,12,50,0,1
0,0,0,0,739,34,3,2
0,0,0,0,681,8,0,0
0,0,0,0,432,29,2,2
0,0,0,0,26,22,3,3
0,0,0,0,693,14,0,0
0,0,0,0,446,8,3,3
0,0,0,0,421,42,3,3
0,0,0,0,642,16,0,0
0,0,0,0,402,10,0,1
0,0,0,0,304,23,0,1
0,0,0,0,280,10,3,3
0,0,0,0,716,31,1,1
0,0,0,0,146,22,1,1
0,0,0,0,546,25,2,2
0,0,0,0,68,20,0,0
0,0,0,0,188,60,0,0
0,0,0,0,378,29,2,2
0,0,0,0,678,25,3,3
0,0,0,0,447,10,0,0
0,0,0,0,412,23,3,3
0,0,0,0,223,35,2,2
0,0,0,0,361,20,2,2
0,0,0,0,186,14,2,2
0,0,0,0,368,31,0,0
0,0,0,0,744,29,2,2
0,0,0,0,673,35,0,0
0,0,0,0,617,35,3,2
0,0,0,0,628,35,0,0
0,0,0,0,414,23,3,3
0,0,0,0,274,42,2,2
0,0,0,0,269,16,0,0
0,0,0,0,496,16,0,1
0,0,0,0,306,3,1,1
0,0,0,0,264,90,1,1
0,0,0,0,588,25,0,1
0,0,0,0,689,31,3,3
0,0,0,0,184,17,3,3
0,0,0,0,679,34,0,0
0,0,0,0,62,7,0,0
0,0,0,0,59,23,1,1
0,0,0,0,234,3,1,1
0,0,0,0,764,35,3,2
0,0,0,0,227,35,3,3
0,0,0,0,571,31,2,2
0,0,0,0,461,43,2,3
0,0,0,0,582,8,1,1
0,0,0,0,141,80,3,3
0,0,0,0,381,82,3,3
0,0,0,0,141,20,2,3
0,0,0,0,104,14,2,2
0,0,0,0,7,35,0,0
0,0,0,0,314,8,0,0
0,0,0,0,319,43,3,2
0,0,0,0,58,22,3,3
0,0,0,0,502,30,2,2
0,0,0,0,699,16,0,0
0,0,0,0,311,34,3,3
0,0,0,0,781,30,1,1
0,0,0,0,175,30,1,1
0,0,0,0,74,29,1,1
0,0,0,0,258,34,3,3
0,0,0,0,736,16,3,2
0,0,0,0,790,54,0,0
0,0,0,0,136,3,1,1
0,0,0,0,390,25,2,3
0,0,0,0,121,47,0,0
0,0,0,0,774,59,1,0
0,0,0,0,290,7,1,1
0,0,0,0,487,22,2,3
0,0,0,0,91,20,1,1
0,0,0,0,405,35,0,2
0,0,0,0,428,80,0,0
0,0,0,0,325,25,3,2
0,0,0,0,199,16,3,3
0,0,0,0,449,20,3,3
0,0,0,0,87,43,1,1
0,0,0,0,651,10,3,3
0,0,0,0,731,10,3,3
0,0,0,0,390,47,2,3
0,0,0,0,445,16,0,0
0,0,0,0,609,12,0,0
0,0,0,0,161,3,2,2
0,0,0,0,324,24,3,3
0,0,0,0,548,63,3,2
0,0,0,0,212,35,0,1
0,0,0,0,12,43,0,1
0,0,0,0,741,35,0,0
0,0,0,0,365,43,1,1
0,0,0,0,746,31,3,3
0,0,0,0,606,47,1,1
0,0,0,0,254,34,3,3
0,0,0,0,43,43,3,3
0,0,0,0,522,35,3,2
0,0,0,0,491,60,3,3
0,0,0,0,95,1,0,1
0,0,0,0,666,47,0,0
0,0,0,0,579,12,2,2
0,0,0,0,24,23,0,1
0,0,0,0,94,23,3,3
0,0,0,0,506,31,0,1
0,0,0,0,281,23,0,0
0,0,0,0,488,23,0,0
0,0,0,0,70,25,2,2
0,0,0,0,373,20,2,2
0,0,0,0,692,43,0,0
0,0,0,0,552,23,0,0
0,0,0,0,773,3,3,3
0,0,0,0,373,23,2,2
0,0,0,0,800,16,2,3
0,0,0,0,778,55,1,1
0,0,0,0,513,22,1,0
0,0,0,0,434,22,0,1
0,0,0,0,711,50,1,1
0,0,0,0,765,31,3,2
0,0,0,0,728,10,0,0
0,0,0,0,672,16,0,1
0,0,0,0,636,31,2,3
0,0,0,0,503,35,3,3
0,0,0,0,653,1,3,3
0,0,0,0,787,31,0,1
0,0,0,0,419,1,3,3
0,0,0,0,772,88,1,1
0,0,0,0,160,8,0,1
